 variables=x,y,rho,u,v
 zone i=          100  j=          100
  0.449999988       9.99999978E-03  0.989860296      -6.70313835E-04   5.65082109E-06
  0.459999979       9.99999978E-03  0.989879072      -6.77020638E-04   4.72680404E-06
  0.469999999       9.99999978E-03  0.989898086      -6.82266837E-04   3.78965001E-06
  0.479999989       9.99999978E-03  0.989917457      -6.86003536E-04   2.79796382E-06
  0.489999980       9.99999978E-03  0.989937007      -6.88223459E-04   1.80443476E-06
  0.500000000       9.99999978E-03  0.989956617      -6.88857050E-04   8.01536999E-07
  0.509999990       9.99999978E-03  0.989976287      -6.87928987E-04  -2.14491550E-07
  0.519999981       9.99999978E-03  0.989996135      -6.85433508E-04  -1.25305712E-06
  0.529999971       9.99999978E-03  0.990015686      -6.81361707E-04  -2.24830887E-06
  0.539999962       9.99999978E-03  0.990035355      -6.75641932E-04  -3.24352072E-06
  0.550000012       9.99999978E-03  0.990054727      -6.68391120E-04  -4.24621976E-06
  0.560000002       9.99999978E-03  0.990073621      -6.59554964E-04  -5.25076348E-06
  0.569999993       9.99999978E-03  0.990092218      -6.49167341E-04  -6.24022050E-06
  0.579999983       9.99999978E-03  0.990110457      -6.37282792E-04  -7.18825549E-06
  0.589999974       9.99999978E-03  0.990128040      -6.23850850E-04  -8.12309281E-06
  0.599999964       9.99999978E-03  0.990144968      -6.09050330E-04  -9.00899158E-06
  0.610000014       9.99999978E-03  0.990161300      -5.92873665E-04  -9.89674754E-06
  0.620000005       9.99999978E-03  0.990176797      -5.75352984E-04  -1.07148808E-05
  0.629999995       9.99999978E-03  0.990191519      -5.56541025E-04  -1.14953764E-05
  0.639999986       9.99999978E-03  0.990205288      -5.36608975E-04  -1.21893318E-05
  0.649999976       9.99999978E-03  0.990217984      -5.15560736E-04  -1.28588272E-05
  0.659999967       9.99999978E-03  0.990229607      -4.93544852E-04  -1.34775337E-05
  0.669999957       9.99999978E-03  0.990240335      -4.70657076E-04  -1.40097109E-05
  0.680000007       9.99999978E-03  0.990249813      -4.46946506E-04  -1.44685373E-05
  0.689999998       9.99999978E-03  0.990258098      -4.22578567E-04  -1.48690633E-05
  0.699999988       9.99999978E-03  0.990265131      -3.97690543E-04  -1.51887198E-05
  0.709999979       9.99999978E-03  0.990270972      -3.72402632E-04  -1.54237478E-05
  0.719999969       9.99999978E-03  0.990275562      -3.46803252E-04  -1.55384132E-05
  0.729999959       9.99999978E-03  0.990278780      -3.21022089E-04  -1.55816251E-05
  0.740000010       9.99999978E-03  0.990280688      -2.95286649E-04  -1.55552625E-05
  0.750000000       9.99999978E-03  0.990281463      -2.69705837E-04  -1.54198224E-05
  0.759999990       9.99999978E-03  0.990280867      -2.44401890E-04  -1.51960021E-05
  0.769999981       9.99999978E-03  0.990279078      -2.19515758E-04  -1.48442959E-05
  0.779999971       9.99999978E-03  0.990276277      -1.95237270E-04  -1.43966754E-05
  0.789999962       9.99999978E-03  0.990272045      -1.71664258E-04  -1.38851201E-05
